student_id,age,gender,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty
8109,22,2,5.23,54.6,2,4.1,3,4,3,3
8569,17,2,3.11,81.5,2,4.9,3,0,3,3
9576,22,2,3.39,83.3,2,8.0,3,4,3,3
13573,17,2,7.01,57.3,2,7.2,3,0,3,3
9350,22,2,4.01,98.1,2,4.3,3,2,3,3
11845,18,2,1.26,58.3,2,9.6,3,4,3,3
14986,23,2,4.03,89.6,2,6.8,3,3,3,3
9656,20,2,2.98,50.3,2,6.1,3,0,3,3
15555,20,2,4.68,96.0,2,7.3,3,0,3,3
15054,23,2,6.62,96.4,2,6.7,3,1,3,3
10612,22,2,6.93,86.2,2,9.9,3,3,3,3
13164,21,2,4.13,74.6,2,4.7,3,3,3,3
11860,17,2,4.25,87.6,2,5.7,3,0,3,3
13346,21,2,5.41,74.9,2,8.0,3,0,3,3
15507,21,2,5.74,95.7,2,8.5,3,4,3,3
1541,20,2,4.95,56.8,2,9.5,3,4,3,3
15679,19,2,6.32,61.4,2,4.1,3,4,3,3
2698,20,2,5.67,54.8,2,9.7,3,0,3,3
2287,24,2,1.61,45.5,2,7.1,3,4,3,3
4789,19,2,1.21,83.2,2,7.8,3,0,3,3
16031,21,2,4.06,97.0,2,9.8,3,2,3,3
18932,18,2,7.91,47.8,2,7.4,3,3,3,3
13693,21,2,0.65,52.2,2,9.9,3,1,3,3
17514,19,2,3.16,79.2,2,9.1,3,4,3,3
6809,17,2,3.16,75.5,2,7.6,3,4,3,3
19029,20,2,0.08,95.1,2,4.9,3,2,3,3
8711,18,2,3.89,50.3,2,5.7,3,2,3,3
13905,20,2,0.51,49.7,2,7.2,3,0,3,3
19516,21,2,0.23,74.5,2,6.0,3,1,3,3
11833,22,2,5.26,44.1,2,4.7,3,1,3,3
15281,17,2,1.47,79.8,2,8.7,3,4,3,3
10347,24,2,4.88,53.2,2,5.8,3,2,3,3
5164,23,2,0.62,75.9,2,5.6,3,4,3,3
1334,23,2,4.71,78.7,2,9.4,3,3,3,3
5717,18,2,7.27,90.3,2,9.4,3,4,3,3
14170,22,2,0.57,71.6,2,6.0,3,0,3,3
10009,24,2,4.95,72.2,2,5.7,3,2,3,3
15195,21,2,0.18,53.6,2,4.4,3,0,3,3
1985,22,2,2.48,61.0,2,7.7,3,4,3,3
4732,22,2,4.04,68.4,2,4.2,3,3,3,3
2436,21,2,7.07,61.0,2,5.8,3,3,3,3
9484,18,2,6.38,93.8,2,6.5,3,2,3,3
10257,23,2,5.13,97.4,2,9.5,3,0,3,3
19350,20,2,0.6,99.3,2,6.1,3,0,3,3
12847,20,2,6.93,90.6,2,5.0,3,0,3,3
7802,18,2,0.67,95.2,2,6.1,3,3,3,3
3921,24,2,0.49,60.3,2,6.1,3,1,3,3
14060,24,2,1.35,87.6,2,8.7,3,3,3,3
9606,17,2,7.18,73.5,2,5.9,3,0,3,3
5364,23,2,4.63,53.3,2,4.4,3,1,3,3
7563,20,2,3.06,78.4,2,5.0,3,3,3,3
9878,22,2,2.62,81.4,2,4.2,3,2,3,3
19142,17,2,5.01,71.8,2,6.0,3,2,3,3
2814,24,2,0.91,96.2,2,6.7,3,4,3,3
7498,19,2,1.75,94.4,2,5.9,3,4,3,3
537,20,2,2.04,55.7,2,9.2,3,2,3,3
17952,17,2,5.56,67.9,2,6.3,3,3,3,3
1140,21,2,4.6,88.8,2,9.9,3,0,3,3
4117,17,2,1.7,97.6,2,4.7,3,2,3,3
6096,22,2,2.19,96.7,2,4.6,3,0,3,3
16117,24,2,0.3,79.8,2,6.4,3,1,3,3
17874,18,2,7.28,57.7,2,9.7,3,1,3,3
618,19,2,1.85,42.2,2,6.4,3,3,3,3
1311,21,2,5.07,71.7,2,4.5,3,1,3,3
15105,22,2,2.09,49.3,2,6.0,3,2,3,3
17024,21,2,6.9,57.3,2,5.6,3,3,3,3
3252,22,2,3.13,84.0,2,6.5,3,4,3,3
3548,24,2,4.04,53.6,2,9.7,3,3,3,3
18642,22,2,5.36,50.6,2,8.6,3,3,3,3
11759,24,2,5.68,70.4,2,8.1,3,0,3,3
6628,21,2,4.62,44.2,2,9.1,3,1,3,3
15467,21,2,7.83,99.4,2,4.7,3,0,3,3
5001,18,2,1.1,46.3,2,4.5,3,2,3,3
7717,22,2,2.08,52.8,2,8.8,3,2,3,3
7720,17,2,6.28,77.6,2,7.7,3,1,3,3
7801,20,2,7.66,78.9,2,7.6,3,1,3,3
10105,20,2,0.45,59.4,2,9.8,3,4,3,3
18340,19,2,5.59,48.7,2,8.1,3,0,3,3
1122,17,2,7.85,62.4,2,6.1,3,3,3,3
2657,17,2,6.6,68.7,2,8.1,3,4,3,3
3479,20,2,3.31,57.4,2,6.7,3,1,3,3
8674,17,2,7.59,91.0,2,6.2,3,4,3,3
17127,18,2,2.14,53.0,2,8.2,3,2,3,3
16528,24,2,2.09,86.3,2,7.4,3,3,3,3
7034,21,2,3.82,73.7,2,7.8,3,4,3,3
11468,24,2,6.06,62.0,2,6.9,3,3,3,3
19989,18,2,2.05,46.2,2,6.5,3,3,3,3
3527,18,2,2.24,94.2,2,8.2,3,1,3,3
1836,18,2,1.41,70.7,2,8.7,3,0,3,3
8346,24,2,4.82,65.0,2,9.6,3,1,3,3
16465,21,2,6.88,81.7,2,7.7,3,3,3,3
9672,23,2,7.05,83.0,2,8.9,3,4,3,3
1043,20,2,0.08,99.3,2,6.5,3,2,3,3
9318,21,2,2.55,82.2,2,4.9,3,2,3,3
15703,22,2,1.52,51.5,2,6.8,3,0,3,3
983,21,2,5.15,70.8,2,6.4,3,1,3,3
9546,17,2,0.14,76.9,2,4.4,3,4,3,3
4405,19,2,6.36,43.8,2,4.7,3,2,3,3
18466,21,2,5.31,70.9,2,6.4,3,2,3,3
18855,18,2,4.71,90.7,2,8.9,3,4,3,3
11801,18,2,0.55,78.7,2,7.0,3,3,3,3
19164,17,2,6.27,74.5,2,7.1,3,2,3,3
378,22,2,7.22,84.6,2,4.9,3,1,3,3
358,24,2,0.19,44.5,2,6.7,3,0,3,3
12623,19,2,5.57,62.2,2,8.5,3,3,3,3
19743,24,2,7.21,41.3,2,7.6,3,4,3,3
13296,17,2,6.72,59.2,2,7.6,3,4,3,3
7913,18,2,0.44,94.0,2,9.6,3,4,3,3
13215,17,2,6.05,46.4,2,7.6,3,0,3,3
9872,18,2,2.03,86.9,2,6.0,3,1,3,3
17962,21,2,3.46,99.4,2,8.4,3,0,3,3
16622,24,2,3.34,54.7,2,7.8,3,3,3,3
2235,21,2,4.16,43.0,2,9.3,3,2,3,3
19188,22,2,5.91,52.3,2,8.1,3,2,3,3
14465,23,2,6.49,63.7,2,9.3,3,1,3,3
12223,21,2,4.69,64.7,2,9.2,3,4,3,3
19900,21,2,7.86,64.5,2,7.6,3,0,3,3
15732,20,2,5.39,92.3,2,5.7,3,0,3,3
8615,18,2,7.47,88.2,2,8.0,3,1,3,3
7785,20,2,5.15,62.1,2,7.8,3,4,3,3
17848,19,2,4.17,40.6,2,4.3,3,4,3,3
5486,18,2,1.34,64.7,2,6.4,3,0,3,3
7224,19,2,4.38,69.1,2,8.9,3,1,3,3
4549,21,2,6.71,47.4,2,9.6,3,2,3,3
18933,24,2,3.86,48.3,2,6.2,3,1,3,3
2719,21,2,4.02,95.0,2,5.7,3,3,3,3
5848,22,2,2.6,95.1,2,8.7,3,0,3,3
1257,18,2,4.97,92.8,2,7.6,3,0,3,3
2641,18,2,0.12,52.8,2,7.6,3,4,3,3
2653,24,2,3.12,95.3,2,9.0,3,0,3,3
7126,24,2,7.3,95.6,2,5.0,3,3,3,3
4414,22,2,6.69,51.5,2,6.6,3,1,3,3
8754,22,2,4.62,60.5,2,9.3,3,3,3,3
9164,23,2,7.52,75.8,2,4.5,3,0,3,3
1337,22,2,1.75,46.9,2,8.3,3,0,3,3
114,20,2,4.72,97.5,2,4.6,3,3,3,3
15496,22,2,2.58,61.9,2,6.9,3,3,3,3
16667,22,2,2.27,41.4,2,4.1,3,1,3,3
9160,17,2,5.07,49.9,2,7.0,3,1,3,3
13484,19,2,2.73,88.3,2,4.7,3,2,3,3
17758,18,2,7.87,96.3,2,9.8,3,3,3,3
13105,17,2,7.7,43.7,2,9.3,3,4,3,3
18327,24,2,7.91,63.8,2,8.2,3,4,3,3
12763,18,2,1.87,85.4,2,9.1,3,2,3,3
4346,21,2,4.91,58.1,2,5.2,3,4,3,3
7050,21,2,0.08,43.1,2,6.4,3,4,3,3
381,17,2,1.76,58.2,2,7.9,3,4,3,3
4844,18,2,3.26,80.1,2,4.1,3,2,3,3
15142,22,2,5.16,61.8,2,5.1,3,0,3,3
16368,17,2,1.66,49.2,2,7.6,3,1,3,3
19284,18,2,2.52,84.3,2,8.0,3,0,3,3
11104,17,2,4.78,95.8,2,9.0,3,0,3,3
136,19,2,2.88,54.7,2,5.3,3,0,3,3
10420,17,2,1.1,60.2,2,6.7,3,4,3,3
10959,22,2,5.34,52.7,2,4.5,3,2,3,3
12077,22,2,2.78,47.1,2,8.1,3,4,3,3
14755,24,2,0.25,86.8,2,7.1,3,0,3,3
11615,23,2,6.84,76.2,2,8.7,3,4,3,3
5679,21,2,5.75,94.9,2,9.4,3,2,3,3
11666,19,2,7.38,78.7,2,6.3,3,2,3,3
7290,17,2,6.28,98.8,2,9.8,3,2,3,3
2088,22,2,4.16,63.5,2,8.7,3,4,3,3
9812,21,2,5.41,63.2,2,4.5,3,0,3,3
6474,24,2,7.44,65.3,2,4.9,3,1,3,3
18967,17,2,2.09,95.3,2,6.4,3,0,3,3
3998,23,2,7.42,66.6,2,4.2,3,4,3,3
10088,20,2,5.54,91.6,2,5.0,3,4,3,3
14498,23,2,7.91,84.2,2,5.1,3,3,3,3
4357,24,2,1.2,48.5,2,7.2,3,0,3,3
19906,23,2,6.85,86.0,2,4.2,3,1,3,3
3289,18,2,4.87,57.0,2,8.0,3,2,3,3
9250,17,2,5.99,99.4,2,9.5,3,3,3,3
426,18,2,1.8,72.8,2,9.3,3,1,3,3
18010,17,2,1.96,50.0,2,8.4,3,2,3,3
18612,20,2,3.03,43.3,2,5.4,3,3,3,3
19299,17,2,1.57,42.8,2,7.5,3,2,3,3
10896,19,2,0.09,61.3,2,6.5,3,4,3,3
5509,21,2,7.19,46.7,2,4.3,3,2,3,3
16491,19,2,3.83,58.4,2,8.9,3,4,3,3
7426,24,2,0.3,87.4,2,8.2,3,3,3,3
7088,18,2,1.97,55.3,2,4.9,3,2,3,3
10150,24,2,1.49,87.2,2,9.1,3,2,3,3
6978,18,2,0.14,59.4,2,5.4,3,1,3,3
7536,19,2,7.41,91.2,2,8.9,3,4,3,3
3215,21,2,3.84,97.5,2,4.7,3,1,3,3
9026,24,2,5.9,69.4,2,7.1,3,2,3,3
1834,17,2,4.92,63.4,2,7.9,3,2,3,3
3659,19,2,5.54,58.4,2,9.9,3,4,3,3
14062,17,2,6.13,46.6,2,6.9,3,2,3,3
16376,20,2,6.73,45.1,2,8.3,3,3,3,3
18494,20,2,5.17,61.8,2,7.4,3,4,3,3
15181,17,2,4.42,42.6,2,7.3,3,2,3,3
9542,22,2,0.08,85.0,2,9.7,3,1,3,3
12725,24,2,3.45,83.2,2,5.9,3,1,3,3
7489,17,2,7.15,99.4,2,4.1,3,4,3,3
14518,22,2,3.43,67.0,2,7.6,3,2,3,3
8414,18,2,5.79,44.6,2,5.9,3,0,3,3
6511,19,2,3.69,56.6,2,4.9,3,4,3,3
654,23,2,2.44,46.3,2,8.6,3,2,3,3
8031,19,2,7.9,50.0,2,5.7,3,4,3,3
12039,22,2,0.51,64.8,2,9.1,3,2,3,3
3235,21,2,2.22,98.7,2,5.2,3,1,3,3
15569,19,2,1.02,51.1,2,9.0,3,0,3,3
2727,18,2,1.86,73.0,2,9.5,3,0,3,3
1114,19,2,5.31,75.0,2,6.0,3,2,3,3
12138,19,2,0.36,87.4,2,5.7,3,2,3,3
13564,20,2,7.28,76.5,2,9.5,3,0,3,3
374,19,2,7.11,94.5,2,5.9,3,2,3,3
2100,18,2,5.37,95.5,2,8.8,3,1,3,3
7135,17,2,0.4,48.3,2,6.8,3,2,3,3
2994,23,2,6.91,68.4,2,6.2,3,1,3,3
8171,24,2,5.7,43.9,2,4.3,3,4,3,3
1276,22,2,4.77,78.9,2,9.9,3,3,3,3
10255,17,2,1.66,75.1,2,7.8,3,1,3,3
4305,22,2,5.94,86.3,2,5.9,3,2,3,3
9751,19,2,7.91,90.3,2,7.9,3,0,3,3
8261,22,2,3.27,48.4,2,7.0,3,4,3,3
9433,23,2,0.08,93.9,2,7.5,3,0,3,3
2133,21,2,0.72,93.9,2,8.9,3,0,3,3
16602,22,2,6.91,65.5,2,7.2,3,4,3,3
16846,22,2,3.63,81.8,2,5.3,3,3,3,3
13929,22,2,6.23,95.9,2,5.6,3,1,3,3
17703,18,2,4.52,42.9,2,5.6,3,2,3,3
9067,23,2,1.77,84.9,2,5.4,3,2,3,3
9669,18,2,3.44,70.7,2,9.2,3,3,3,3
6115,18,2,4.89,71.3,2,9.9,3,2,3,3
10765,24,2,4.82,62.5,2,7.7,3,4,3,3
13526,24,2,2.14,43.9,2,5.4,3,1,3,3
5639,17,2,0.72,51.5,2,4.1,3,1,3,3
863,17,2,3.42,68.5,2,9.8,3,4,3,3
7295,18,2,6.57,75.8,2,4.1,3,2,3,3
12112,17,2,6.08,91.9,2,5.7,3,3,3,3
10040,20,2,7.53,41.8,2,9.3,3,3,3,3
7178,23,2,4.68,95.2,2,8.2,3,2,3,3
1721,17,2,0.36,84.3,2,6.9,3,0,3,3
11687,22,2,2.95,70.3,2,9.6,3,4,3,3
8319,18,2,1.18,60.6,2,6.2,3,3,3,3
15901,24,2,2.92,76.4,2,7.6,3,2,3,3
18539,19,2,6.32,51.7,2,9.1,3,2,3,3
6391,23,2,1.64,80.9,2,4.3,3,1,3,3
639,23,2,1.98,43.0,2,7.0,3,1,3,3
12637,24,2,5.34,50.7,2,9.7,3,3,3,3
4133,22,2,2.97,51.2,2,8.4,3,3,3,3
567,18,2,7.09,57.8,2,9.9,3,1,3,3
9531,22,2,5.88,52.2,2,5.2,3,0,3,3
16075,17,2,6.92,93.6,2,9.9,3,1,3,3
11451,23,2,2.03,89.9,2,7.8,3,0,3,3
1306,22,2,5.16,92.0,2,8.9,3,4,3,3
19105,18,2,4.45,87.3,2,8.8,3,2,3,3
4304,17,2,3.08,68.5,2,8.1,3,2,3,3
8374,17,2,3.88,71.5,2,9.9,3,3,3,3
13244,19,2,1.66,54.1,2,4.8,3,2,3,3
14558,21,2,3.91,53.5,2,9.1,3,1,3,3
14801,24,2,1.4,86.4,2,4.6,3,0,3,3
10820,23,2,0.43,61.4,2,8.3,3,0,3,3
10958,21,2,6.09,76.2,2,4.1,3,2,3,3
8305,19,2,6.62,51.4,2,9.3,3,1,3,3
13376,24,2,6.57,77.7,2,4.7,3,4,3,3
13338,18,2,0.73,79.0,2,4.9,3,0,3,3
1796,18,2,7.26,60.1,2,6.6,3,1,3,3
8032,21,2,6.2,91.2,2,6.9,3,1,3,3
10471,21,2,3.21,67.6,2,7.2,3,4,3,3
1965,23,2,6.98,68.5,2,4.9,3,2,3,3
2630,17,2,7.11,54.6,2,7.2,3,0,3,3
8088,24,2,2.79,84.5,2,9.6,3,3,3,3
14321,24,2,6.83,60.5,2,7.3,3,0,3,3
11100,20,2,5.48,63.3,2,7.1,3,0,3,3
17639,22,2,3.18,84.3,2,6.6,3,1,3,3
8234,21,2,6.24,85.2,2,5.6,3,1,3,3
18850,21,2,2.42,84.7,2,6.5,3,0,3,3
5611,19,2,1.72,80.5,2,7.8,3,4,3,3
6245,23,2,3.65,50.8,2,5.3,3,0,3,3
12527,20,2,2.11,44.1,2,9.4,3,2,3,3
6416,17,2,4.89,55.2,2,6.1,3,0,3,3
11010,23,2,6.94,55.3,2,7.9,3,0,3,3
6007,19,2,7.14,60.2,2,5.0,3,4,3,3
2544,20,2,5.1,72.5,2,4.6,3,2,3,3
3885,18,2,3.8,97.2,2,9.2,3,4,3,3
6014,21,2,3.95,84.4,2,8.9,3,1,3,3
2276,20,2,4.12,70.2,2,5.3,3,3,3,3
8464,17,2,7.91,76.4,2,4.7,3,3,3,3
10576,21,2,7.89,71.0,2,4.1,3,3,3,3
421,24,2,3.78,45.9,2,8.8,3,3,3,3
285,20,2,0.21,49.2,2,8.2,3,0,3,3
999,24,2,4.74,56.8,2,6.6,3,1,3,3
17968,23,2,2.35,76.0,2,9.0,3,2,3,3
3182,18,2,1.34,69.7,2,9.1,3,4,3,3
6370,17,2,4.6,84.5,2,7.7,3,2,3,3
16249,24,2,7.71,61.3,2,8.0,3,0,3,3
18008,17,2,3.02,45.6,2,5.2,3,1,3,3
3835,18,2,0.55,77.8,2,4.1,3,1,3,3
18287,17,2,0.71,92.9,2,4.5,3,2,3,3
3246,23,2,6.09,49.4,2,9.1,3,2,3,3
4282,24,2,2.48,49.8,2,8.9,3,0,3,3
11810,20,2,2.01,95.9,2,7.7,3,0,3,3
18318,18,2,5.64,89.8,2,6.4,3,1,3,3
8923,22,2,7.45,44.8,2,6.5,3,4,3,3
12499,18,2,1.9,71.4,2,9.9,3,2,3,3
8376,18,2,6.3,89.9,2,9.4,3,1,3,3
17751,23,2,3.17,97.8,2,5.0,3,1,3,3
9043,21,2,4.04,46.0,2,7.1,3,3,3,3
5419,21,2,7.89,67.8,2,7.1,3,2,3,3
17901,18,2,2.29,74.5,2,5.4,3,4,3,3
16229,24,2,4.32,96.1,2,4.2,3,2,3,3
12598,19,2,0.19,96.9,2,5.6,3,4,3,3
13556,21,2,4.76,73.8,2,8.8,3,1,3,3
683,24,2,7.38,77.6,2,6.6,3,0,3,3
6030,19,2,2.73,55.6,2,4.6,3,3,3,3
12471,17,2,0.19,53.5,2,9.7,3,0,3,3
151,23,2,1.61,44.9,2,4.9,3,2,3,3
19409,21,2,2.56,85.8,2,9.5,3,4,3,3
5565,17,2,1.73,61.7,2,8.7,3,1,3,3
3412,24,2,2.28,76.7,2,7.7,3,0,3,3
8295,17,2,0.4,46.4,2,5.9,3,2,3,3
14878,18,2,0.08,83.6,2,6.2,3,0,3,3
14837,22,2,0.19,65.1,2,4.3,3,1,3,3
8529,24,2,2.9,59.0,2,9.1,3,1,3,3
9148,19,2,5.9,65.1,2,9.7,3,3,3,3
16831,19,2,0.14,53.8,2,5.6,3,3,3,3
5459,21,2,2.75,91.5,2,8.4,3,2,3,3
6139,17,2,6.77,92.3,2,5.5,3,4,3,3
4437,22,2,0.66,96.2,2,6.2,3,1,3,3
14820,18,2,7.22,99.2,2,5.2,3,4,3,3
4316,19,2,0.37,47.6,2,4.4,3,2,3,3
15113,17,2,2.29,59.3,2,5.6,3,4,3,3
2662,23,2,1.75,93.6,2,5.1,3,0,3,3
17552,18,2,1.7,92.1,2,6.2,3,1,3,3
13025,23,2,0.57,74.9,2,7.2,3,1,3,3
13864,22,2,2.29,49.8,2,6.0,3,0,3,3
3789,24,2,2.83,66.5,2,4.2,3,1,3,3
16135,20,2,7.57,95.4,2,4.7,3,1,3,3
1277,22,2,4.77,94.9,2,5.6,3,2,3,3
16331,20,2,3.05,66.2,2,5.5,3,1,3,3
5906,18,2,4.98,99.4,2,4.3,3,2,3,3
5116,19,2,7.91,44.9,2,9.4,3,4,3,3
12693,24,2,5.26,90.2,2,6.7,3,3,3,3
117,17,2,1.54,52.5,2,7.2,3,2,3,3
16269,23,2,4.7,63.3,2,7.7,3,1,3,3
17630,24,2,4.63,93.0,2,4.1,3,4,3,3
18770,20,2,2.35,74.0,2,6.7,3,3,3,3
11725,19,2,2.69,43.8,2,9.7,3,0,3,3
1113,18,2,7.39,66.1,2,8.9,3,3,3,3
17399,18,2,2.51,87.1,2,8.6,3,3,3,3
19675,20,2,6.76,54.4,2,7.6,3,3,3,3
15810,24,2,5.75,57.8,2,9.7,3,3,3,3
19561,20,2,0.34,65.4,2,7.4,3,1,3,3
18585,23,2,6.72,78.7,2,8.8,3,2,3,3
3652,17,2,7.74,78.9,2,6.9,3,2,3,3
8337,20,2,6.18,57.3,2,8.8,3,3,3,3
1256,17,2,2.1,55.0,2,5.5,3,2,3,3
3685,24,2,0.14,69.8,2,5.9,3,4,3,3
14025,21,2,7.05,54.1,2,8.8,3,1,3,3
15432,17,2,7.91,61.2,2,7.8,3,1,3,3
18985,18,2,7.2,94.7,2,7.2,3,2,3,3
13692,17,2,0.19,69.7,2,4.2,3,1,3,3
2482,23,2,6.01,96.6,2,6.4,3,2,3,3
7859,17,2,7.33,66.0,2,9.0,3,0,3,3
7712,18,2,0.34,84.0,2,9.9,3,4,3,3
10157,17,2,2.76,72.8,2,6.6,3,0,3,3
17406,18,2,1.47,58.1,2,7.7,3,3,3,3
830,17,2,7.48,46.1,2,7.8,3,4,3,3
17545,21,2,0.58,54.2,2,8.9,3,0,3,3
1603,23,2,6.12,51.7,2,7.1,3,0,3,3
16863,18,2,3.03,73.2,2,8.1,3,1,3,3
3059,20,2,0.08,45.9,2,8.0,3,0,3,3
14738,24,2,7.4,90.5,2,7.9,3,3,3,3
10824,23,2,0.08,56.4,2,7.2,3,4,3,3
16050,18,2,1.92,81.5,2,9.2,3,4,3,3
15950,23,2,2.67,43.5,2,4.8,3,4,3,3
5260,18,2,0.36,75.5,2,4.1,3,0,3,3
10462,23,2,4.27,86.7,2,8.9,3,3,3,3
11907,23,2,7.62,96.2,2,7.0,3,3,3,3
9364,17,2,3.75,65.1,2,5.1,3,1,3,3
17871,20,2,3.6,69.4,2,6.5,3,1,3,3
13964,24,2,3.96,51.2,2,5.6,3,3,3,3
16957,17,2,2.95,92.5,2,8.8,3,1,3,3
1922,21,2,1.45,43.8,2,6.5,3,4,3,3
11076,21,2,2.84,56.6,2,6.2,3,2,3,3
10779,19,2,5.88,66.2,2,4.7,3,1,3,3
